CIRCUITO,geometry
FLR23L15,POINT Z (-75.00590448999998 5.481970578000073 5)
FLR23L15,POINT Z (-75.00470104999994 5.48547456700004 5)
FLR23L15,POINT Z (-75.00397464699995 5.490024885000025 5)
FLR23L15,POINT Z (-75.01252177499998 5.493322353000053 5)
FLR23L15,POINT Z (-75.01271511299996 5.495835323000051 5)
FLR23L15,POINT Z (-75.00435768999995 5.496339468000031 5)
FLR23L15,POINT Z (-75.01947643399996 5.497642651000035 5)
FLR23L15,POINT Z (-75.01190971299997 5.498196621000034 5)
FLR23L15,POINT Z (-75.01394915899994 5.4983591320000755 5)
FLR23L15,POINT Z (-75.01397336199994 5.498401690000037 7.5)
FLR23L15,POINT Z (-75.00447224299995 5.498414763000028 5)
FLR23L15,POINT Z (-75.01395582199996 5.498519111000064 7.5)
FLR23L15,POINT Z (-75.01421108599999 5.500336445000073 5)
FLR23L15,POINT Z (-75.01424752799994 5.500752276000071 7.5)
FLR23L15,POINT Z (-75.02885071399999 5.502817119000042 5)
FLR23L15,POINT Z (-75.01799540299999 5.502925123000068 5)
FLR23L15,POINT Z (-75.00125844799999 5.503485057000034 5)
FLR23L15,POINT Z (-75.00097069099996 5.504281114000037 5)
FLR23L15,POINT Z (-75.00080031299996 5.504778457000043 7.5)
FLR23L15,POINT Z (-74.99182253299995 5.505225986000028 5)
FLR23L15,POINT Z (-74.99758048799998 5.505605831000025 5)
FLR23L15,POINT Z (-74.99650712799996 5.505905716000029 5)
FLR23L15,POINT Z (-74.99227463899996 5.505921608000051 5)
FLR23L15,POINT Z (-74.99581231199994 5.5060153410000225 5)
FLR23L15,POINT Z (-74.99290768799995 5.506454297000062 5)
FLR23L15,POINT Z (-75.02984108199996 5.507255056000076 5)
FLR23L15,POINT Z (-75.03037441299995 5.50795094700004 5)
FLR23L15,POINT Z (-75.00366605499994 5.5080020160000345 5)
FLR23L15,POINT Z (-74.97548705799994 5.509889292000025 5)
FLR23L15,POINT Z (-75.01451429799994 5.509937563000051 5)
FLR23L15,POINT Z (-75.01452399899995 5.510000856000033 5)
FLR23L15,POINT Z (-75.00830673199994 5.510182562000068 5)
FLR23L15,POINT Z (-74.97597563599999 5.510210021000034 5)
FLR23L15,POINT Z (-75.03358172399999 5.510522217000073 5)
FLR23L15,POINT Z (-75.00726267199997 5.511911320000024 5)
FLR23L15,POINT Z (-74.97848841399997 5.511945849000028 5)
FLR23L15,POINT Z (-75.00726335399997 5.511974581000061 7.5)
FLR23L15,POINT Z (-75.01325499999996 5.512101176000044 5)
