CIRCUITO,geometry
NSA23L14,"LINESTRING Z (-74.948996996 5.609577865000006 10, -74.94829568699998 5.617391106000014 10)"
NSA23L12,"LINESTRING Z (-74.860517722 5.634278529000028 10, -74.85652700100002 5.633428352999999 10)"
NSA23L14,"LINESTRING Z (-74.938456546 5.5733441250000055 10, -74.938516919 5.573359707000009 10)"
NSA23L12,"LINESTRING Z (-74.83064102600002 5.609367318000011 10, -74.82933303300001 5.609186079999972 10)"
NSA23L13,"LINESTRING Z (-74.88824169999998 5.57472869999998 10, -74.888665377 5.575030285000025 10)"
NSA23L14,"LINESTRING Z (-74.94071106899997 5.682603067999992 10, -74.94177218099998 5.685955965000005 10)"
NSA23L12,"LINESTRING Z (-74.806245639 5.602485192000017 10, -74.804577629 5.603752752999981 10)"
NSA23L12,"LINESTRING Z (-74.82437273 5.578788196999994 10, -74.82473593700001 5.578852843999982 10)"
FLR23L15,"LINESTRING Z (-74.98945508700001 5.532762185000024 10, -74.98837597199997 5.535195627000007 10)"
NSA23L12,"LINESTRING Z (-74.82824199999999 5.695128899999986 10, -74.82751110999999 5.695241667000005 10)"
NSA23L14,"LINESTRING Z (-74.94930184100002 5.595915546000015 10, -74.95009635100001 5.595950968000011 10)"
NSA23L14,"LINESTRING Z (-74.97106569900001 5.672575591999987 10, -74.97369028600002 5.670984750999992 10)"
NSA23L12,"LINESTRING Z (-74.84614485200001 5.573580788000015 10, -74.84725200999998 5.571526579000022 15)"
NSA23L13,"LINESTRING Z (-74.888239935 5.57384104800002 10, -74.88806827399998 5.573578192000014 10)"
NSA23L12,"LINESTRING Z (-74.809434351 5.597688713000025 10, -74.80775997299997 5.601307384999984 10)"
NSA23L13,"LINESTRING Z (-74.897930271 5.5751388499999734 10, -74.897879714 5.575152216999982 10)"
NSA23L12,"LINESTRING Z (-74.880789048 5.727111589999993 10, -74.882328616 5.729096437999999 10)"
NSA23L14,"LINESTRING Z (-74.89587027900001 5.573197418999996 10, -74.90241362500001 5.573930141000005 10)"
NSA23L13,"LINESTRING Z (-74.88789506299997 5.575053618000027 10, -74.88829222999999 5.575450890000013 10)"
NSA23L14,"LINESTRING Z (-74.93066431699998 5.695485247000022 10, -74.93041953599999 5.697748886999989 10)"
NSA23L12,"LINESTRING Z (-74.85026766300001 5.68201929899999 10, -74.85278182500002 5.685963314999981 10)"
FLR23L15,"LINESTRING Z (-74.95454878200002 5.592128355999989 10, -74.95331306499997 5.592383225999981 10)"
FLR23L15,"LINESTRING Z (-75.01421108599999 5.500336445000016 10, -75.01395582200001 5.498519111000007 10)"
