CIRCUITO,geometry
FLR23L15,POINT Z (-75.013911313 5.498349963999999 0)
NSA23L12,POINT Z (-74.865416471 5.586735357000009 0)
FLR23L15,POINT Z (-74.957042263 5.591757852000001 0)
NSA23L12,POINT Z (-74.855696486 5.593216326000004 0)
NSA23L12,POINT Z (-74.82221434600001 5.652549884999985 0)
FLR23L15,POINT Z (-75.01453406899998 5.521937937000018 0)
FLR23L15,POINT Z (-74.993608456 5.527585111999997 0)
NSA23L14,POINT Z (-74.89316344600002 5.57236470700002 0)
NSA23L14,POINT Z (-74.93672518900001 5.6697075810000115 0)
FLR23L15,POINT Z (-74.96721838600001 5.534183381999981 0)
FLR23L15,POINT Z (-75.01401847699998 5.49839552100002 0)
FLR23L15,POINT Z (-74.98531092799999 5.54272064700001 0)
NSA23T11,POINT Z (-74.88701858000002 5.574289822000026 0)
NSA23L14,POINT Z (-74.919575469 5.65582062499999 0)
FLR23L15,POINT Z (-75.04398844999997 5.522737402000018 0)
FLR23L15,POINT Z (-75.007286255 5.511872542999981 0)
NSA23L12,POINT Z (-74.84762664700003 5.608283079999978 0)
FLR23L15,POINT Z (-75.01028818200001 5.517454332 0)
NSA23L12,POINT Z (-74.839461906 5.630309237000006 10)
NSA23L14,POINT Z (-74.94172398900002 5.644909740000003 0)
NSA23L14,POINT Z (-74.88750807100001 5.573539580999977 0)
FLR23L15,POINT Z (-75.01445760799999 5.5270806579999885 0)
NSA23L12,POINT Z (-74.84968633599999 5.663129895999987 0)
NSA23L12,POINT Z (-74.82663996000002 5.579280321999988 0)
FLR23L15,POINT Z (-75.01452313800002 5.509989104999988 0)
FLR23L15,POINT Z (-74.97522024 5.533594665999999 0)
NSA23L13,POINT Z (-74.88865712699999 5.575794727000016 0)
NSA23L14,POINT Z (-74.94321291799997 5.630225298000028 0)
NSA23L12,POINT Z (-74.80069369099999 5.607795592000002 0)
FLR23L15,POINT Z (-74.95643481100001 5.591711776000011 10)
NSA23L14,POINT Z (-74.90848766099998 5.64998684599999 0)
NSA23L14,POINT Z (-74.94929231499998 5.596304087000021 0)
NSA23L13,POINT Z (-74.88695611999998 5.575069996000025 0)
FLR23L15,POINT Z (-74.97660568399999 5.532535952999979 0)
NSA23L14,POINT Z (-74.94601576399998 5.619276850999995 0)
FLR23L15,POINT Z (-74.97822825399999 5.522045416000026 0)
NSA23L12,POINT Z (-74.808605656 5.682182958999988 0)
FLR23L15,POINT Z (-75.03261677199998 5.5217990740000005 0)
NSA23L12,POINT Z (-74.856631096 5.565172668000002 0)
NSA23L14,POINT Z (-74.92683617199998 5.5859212089999914 0)
NSA23L12,POINT Z (-74.841229505 5.548354282999981 0)
NSA23L14,POINT Z (-74.89174596200002 5.587264299000026 0)
NSA23L14,POINT Z (-74.93602902800001 5.591062353999973 0)
NSA23L14,POINT Z (-74.91148884400002 5.577321627999993 0)
NSA23L12,POINT Z (-74.85291193699999 5.558666174999985 0)
NSA23L14,POINT Z (-74.90024354500002 5.607574224000018 0)
NSA23L14,POINT Z (-74.91581149400002 5.65186939900002 0)
NSA23L12,POINT Z (-74.86394050799998 5.6383768210000085 0)
NSA23L14,POINT Z (-74.93600289699998 5.5913026320000085 0)
NSA23L14,POINT Z (-74.93413731300001 5.657281719000025 0)
NSA23L12,POINT Z (-74.853749515 5.55527543300002 10)
NSA23L14,POINT Z (-74.93644672300002 5.651368601999991 0)
NSA23L14,POINT Z (-74.94269580999998 5.631033080000009 0)
NSA23L12,POINT Z (-74.87185539400002 5.596538613000007 0)
NSA23L14,POINT Z (-74.89274422400001 5.573211101000027 0)
NSA23L14,POINT Z (-74.951124387 5.596057267999981 0)
NSA23L14,POINT Z (-74.93663029200002 5.669588816999976 0)
NSA23L14,POINT Z (-74.94176433899997 5.593848888000025 0)
NSA23L13,POINT Z (-74.88722655100003 5.574379727999997 0)
FLR23L15,POINT Z (-74.97294004000003 5.57169346500001 10)
NSA23L13,POINT Z (-74.89801373 5.575252114000023 0)
NSA23L12,POINT Z (-74.82076033099997 5.577816347999999 0)
NSA23L14,POINT Z (-74.94274767899998 5.624495278999973 0)
NSA23L12,POINT Z (-74.82207469999997 5.652740902000005 0)
FLR23L15,POINT Z (-74.99086416400002 5.529335838999998 0)
NSA23L12,POINT Z (-74.87187089700001 5.604170650000015 0)
FLR23L15,POINT Z (-74.97042236499999 5.533797187000005 0)
FLR23L15,POINT Z (-74.97970545599998 5.529479845000026 0)
NSA23L14,POINT Z (-74.94886993799997 5.60954396599999 0)
FLR23L15,POINT Z (-75.00181679999997 5.52210319400001 0)
NSA23L14,POINT Z (-74.88905666099998 5.5842912530000035 0)
FLR23L15,POINT Z (-74.95473598500001 5.531748499999992 0)
FLR23L15,POINT Z (-74.99823597800003 5.524776427000006 0)
FLR23L15,POINT Z (-75.02983665900001 5.507229736999989 0)
NSA23L14,POINT Z (-74.932205925 5.661453965000021 0)
NSA23L14,POINT Z (-74.896261525 5.57275880200001 0)
FLR23L15,POINT Z (-74.94181555400002 5.593849551999995 0)
NSA23L14,POINT Z (-74.94177104200003 5.59380593100002 0)
NSA23L12,POINT Z (-74.87375755300002 5.616590617999975 0)
NSA23L12,POINT Z (-74.84268179600002 5.580077644000028 10)
NSA23L14,POINT Z (-74.88711012099998 5.574159710999993 0)
NSA23L12,POINT Z (-74.842631488 5.579909821000001 0)
NSA23L14,POINT Z (-74.94038292800002 5.670259253999973 10)
FLR23L15,POINT Z (-74.97478750699997 5.576171007000028 0)
FLR23L15,POINT Z (-75.01434340899999 5.526981755999998 0)
NSA23L12,POINT Z (-74.872035794 5.596534775000009 0)
NSA23L12,POINT Z (-74.83620196499999 5.697626801000013 0)
NSA23L12,POINT Z (-74.76884124899999 5.6550629249999815 0)
NSA23L12,POINT Z (-74.86753993500002 5.578469841000015 0)
FLR23L15,POINT Z (-75.01517194899998 5.521868763999976 0)
NSA23L12,POINT Z (-74.83985113699998 5.580106146999981 0)
NSA23L14,POINT Z (-74.90285839900002 5.665801993000002 0)
NSA23L12,POINT Z (-74.86066317000001 5.721460087000025 10)
NSA23L14,POINT Z (-74.940305008 5.5935982899999885 0)
FLR23L15,POINT Z (-75.04395409699998 5.523816328000009 0)
NSA23L14,POINT Z (-74.92752734099997 5.714513215000011 10)
NSA23L14,POINT Z (-74.960789202 5.661735216000011 10)
NSA23L12,POINT Z (-74.85579756099997 5.547323150000011 0)
NSA23L12,POINT Z (-74.867555928 5.578732016000004 10)
