CIRCUITO,geometry
NSA23L14,POINT Z (-74.93227412800002 5.641014448000021 0)
FLR23L15,POINT Z (-75.03427210699999 5.513026079999975 0)
NSA23L14,POINT Z (-74.97528714499998 5.677903712999978 0)
NSA23L14,POINT Z (-74.92067676699997 5.687344859999996 0)
NSA23L14,POINT Z (-74.969213836 5.651429138000026 0)
NSA23L12,POINT Z (-74.87857730399998 5.58597886299998 0)
FLR23L15,POINT Z (-75.00229722400002 5.533293565000008 0)
FLR23L15,POINT Z (-74.99723435300001 5.550652029999981 0)
NSA23L13,POINT Z (-74.887043957 5.574975441999982 0)
NSA23L13,POINT Z (-74.88959823699997 5.575923838999984 0)
NSA23L12,POINT Z (-74.85446957900001 5.5930589569999825 0)
FLR23L15,POINT Z (-75.008306732 5.510182562000011 0)
NSA23L14,POINT Z (-74.97743593799999 5.6876017060000095 0)
NSA23L12,POINT Z (-74.853030821 5.558709093999994 0)
NSA23L14,POINT Z (-74.95860582799997 5.656048854000005 0)
NSA23L13,POINT Z (-74.891833442 5.57098296800001 0)
NSA23L14,POINT Z (-74.905337766 5.715718228000014 0)
NSA23L14,POINT Z (-74.96531093099998 5.677344934000018 0)
NSA23L14,POINT Z (-74.94384903100001 5.625237609999999 0)
NSA23L14,POINT Z (-74.89625128699998 5.649120415000027 0)
FLR23L15,POINT Z (-74.97813297800002 5.522209549000024 0)
NSA23L13,POINT Z (-74.89080562800001 5.571861088999981 0)
NSA23L13,POINT Z (-74.89026749700002 5.574453413000015 0)
NSA23L14,POINT Z (-74.94060646399998 5.623957877000009 0)
NSA23L12,POINT Z (-74.86936994299998 5.582543018000024 0)
NSA23L12,POINT Z (-74.86546332199998 5.586748183999987 0)
NSA23L14,POINT Z (-74.982140507 5.624848085999986 0)
NSA23L14,POINT Z (-74.973480596 5.693159338999976 0)
NSA23L14,POINT Z (-74.91052158999997 5.67827934799999 0)
NSA23L12,POINT Z (-74.86627361199999 5.646305000999973 0)
NSA23L14,POINT Z (-74.90801023699998 5.673939662000009 0)
NSA23L12,POINT Z (-74.83846763000003 5.722049931000015 0)
NSA23L12,POINT Z (-74.87999542300003 5.6454544480000095 0)
NSA23L12,POINT Z (-74.76800416399999 5.656668818000014 0)
FLR23L15,POINT Z (-74.951042336 5.59278507800002 10)
NSA23L14,POINT Z (-74.935998585 5.657193726000003 0)
FLR23L15,POINT Z (-75.03697055800001 5.5193505440000195 0)
NSA23L12,POINT Z (-74.84130658599997 5.548241625000003 0)
NSA23L14,POINT Z (-74.93361738099998 5.66470151499999 0)
NSA23L13,POINT Z (-74.88498747 5.583548721999989 0)
NSA23L14,POINT Z (-74.96953460100002 5.654764870999998 0)
NSA23L14,POINT Z (-74.95031477499998 5.652145334000011 0)
NSA23L13,POINT Z (-74.885216007 5.579524717000027 0)
NSA23L12,POINT Z (-74.81334733099999 5.591224268000019 0)
NSA23L12,POINT Z (-74.81355319699998 5.658187890000022 0)
NSA23L12,POINT Z (-74.85376247200003 5.576118102999999 0)
FLR23L15,POINT Z (-74.97647265199998 5.57026876499998 0)
NSA23L14,POINT Z (-74.90128041100002 5.66732319800002 0)
NSA23L12,POINT Z (-74.851569531 5.551114156999972 0)
NSA23L12,POINT Z (-74.77748472000002 5.649622306000026 0)
NSA23L12,POINT Z (-74.82585702300003 5.690954010999974 0)
NSA23L14,POINT Z (-74.90835428000003 5.573750602000018 0)
NSA23L14,POINT Z (-74.936997953 5.593972065000003 0)
NSA23L14,POINT Z (-74.90212197300002 5.686297312000022 0)
FLR23L15,POINT Z (-75.01339903299998 5.541015705999996 0)
