NOM_COMUN,TIPO_VEGET,ESTADO_INICIAL,FECHA,LADO_RED,DAP_ESTIM,LONG_INTER,TIPO_INTER,NIVEL_RIES,CIRCUITO_TRAMO,NODO_1,NODO_2,LONGITUD,LATITUD,DEP,MUN
YARUMO,Bosque natural,Nuevo,2023-11-30,Debajo,22,6,Rocería,Medio,ESM40L27,A06084,A06085,-75.71430476,5.013049911,RISARALDA,MARSELLA
GUADUA,Guadual,Nuevo,2023-11-30,Debajo,11,6,Tala,Medio,ESM40L27,A06089,A06090,-75.72638738,5.023843242,RISARALDA,MARSELLA
MANDARINO,Frutales,Nuevo,2023-11-30,Debajo,28,6,Poda,Alto,ESM40L28,A06059,A06060,-75.64576844,4.992025226,CALDAS,CHINCHINÁ
GUAMO,Cafe/sombrio,Nuevo,2023-11-30,Debajo,45,6,Poda,Medio,ESM40L27,A06070,A06071,-75.67465051,4.993295317,CALDAS,CHINCHINÁ
GUADUA,Guadual,Nuevo,2023-11-30,Debajo,12,6,Tala,Medio,ESM40L27,A06087,A06088,-75.72398777,5.018694222,RISARALDA,MARSELLA
AGUACATE,Frutales,Nuevo,2023-11-30,Debajo,40,6,Poda,Alto,ESM40L28,A06059,A06060,-75.64576352,4.991986533,CALDAS,CHINCHINÁ
GUADUA,Guadual,Nuevo,2023-11-30,Un lado,12,6,Tala,Alto,ESM40L27,A06052,A06053,-75.64565523,4.976863132,CALDAS,CHINCHINÁ
ALISO,Bosque natural secundario,Nuevo,2023-12-28,Ambos Lados,20,3,Poda,Alto,DON30L13,B69005,B69006,-74.6812809,5.481821099,CALDAS,LA DORADA
PRINGAMOSA,Rastrojo,Nuevo,2023-12-28,Encima,0,1,Rocería,Medio,DON30L13,B69027,B69028,-74.6909745,5.507558108,CALDAS,LA DORADA
GUADUA,Guadual,Nuevo,2023-11-30,Debajo,12,6,Tala,Medio,ESM40L27,A06043,A06044,-75.64783675,4.953007733,RISARALDA,SANTA ROSA DE CABAL
TABAQUILLO,Arbol aislado,Ejecutado,2024-01-29,Debajo,60,4,Poda,Medio,ENE23L15,M63131,M63132,-75.464691,5.033464,CALDAS,MANIZALES
MESTIZO,Arbol aislado,Ejecutado,2024-01-29,Debajo,30,0,Poda,Bajo,ENE23L15,M63131,M63132,-75.46479,5.033404,CALDAS,MANIZALES
PALMA,Ornamental,Inspeccionado,2024-01-29,Izquierda,45,4,Poda,No aplica,ENE23L15,M63042,M63043,-75.458226,5.029659,CALDAS,VILLAMARÍA
TULIPAN AFRICANO,Ornamental,Ejecutado,2024-01-29,Izquierda,40,8,Poda,Bajo,ENE23L15,M63068,M63821,-75.459243,5.030671,CALDAS,MANIZALES
PINO ROMERON,Arbol aislado,Inspeccionado,2024-01-29,Ambos Lados,100,5,Poda,Bajo,ENE23L15,M63028,M63872,-75.456993,5.029534,CALDAS,VILLAMARÍA
EUCALIPTO,Arbol aislado,Ejecutado,2024-01-29,Derecha,50,4,Poda,Alto,ENE23L15,M63068,M63821,-75.459289,5.030664,CALDAS,MANIZALES
URAPAN,Cerca Viva,Ejecutado,2024-01-25,Derecha,25,10,Poda,Medio,AMR23L14,C31183,C31184,-75.675546,5.067733,CALDAS,PALESTINA
CARBONERO,Arbol aislado,Inspeccionado,2024-01-25,Encima,45,6,Tala,Medio,CHA23L16,C14018,C14657,-75.6090021,4.973184057,CALDAS,CHINCHINÁ
